,$delta lambda\/lambda$,$n$,$delta lambda\/lambda$,$n$,$delta lambda\/lambda$,$delta lambda\/lambda$,$n$,$delta lambda\/lambda$,$n$,$delta lambda\/lambda$,cond-iter,cond-numpy
1,2.5733738501863433e-09,30,4.977821604726072e-09,31,6.289637993966314e-16,8.625325107484526e-08,120,8.45820849507154e-08,129,1.2199987462500642e-15,2.856314730273505,2.856314730273701
2,1.4428562081936336e-09,25,1.7395431792337757e-11,32,3.6040603877628356e-16,7.524755127778209e-08,179,7.527119277664916e-08,135,7.230301592633522e-16,3.767254452090373,3.7672544520905724
3,3.9504366423972e-09,26,1.1986284600356325e-09,30,1.066354377850675e-15,8.25467721876224e-08,86,8.537859956954493e-08,86,9.515443257421064e-16,2.8921246418423694,2.8921246418425035
4,2.460456502144824e-09,31,2.2038740654347053e-10,34,9.492471621003622e-16,7.929685801370098e-08,91,7.79708901520466e-08,67,1.0395958660643545e-15,3.337828068481891,3.337828068482012
5,1.2241602441478352e-10,30,3.911172477928079e-09,26,1.3497520177252124e-15,6.641491990879045e-08,41,6.314523176111971e-08,33,1.5525899155196541e-15,3.518805756010324,3.518805756010357
6,1.8571509212589967e-12,33,3.60122351737223e-09,25,7.278493828417935e-16,6.877493088911119e-08,59,6.28867319684797e-08,46,8.354987505897966e-16,4.247912748068149,4.247912748068202
7,1.9272189017235143e-09,24,6.279223837126251e-09,26,1.0753156868122264e-15,6.559929320972327e-08,42,6.217839084449173e-08,46,7.481660983202826e-16,3.4128680705189645,3.4128680705190018
8,5.823399012174535e-10,30,1.827655902281723e-10,35,8.321970549573276e-16,7.857305604162958e-08,64,7.03386748253104e-08,57,2.0808526414684727e-15,3.8103358058540056,3.8103358058540917
9,4.4010125193109413e-10,32,4.624956029098808e-09,31,1.1125345308643513e-15,9.911355278564688e-08,175,9.359002128900141e-08,190,8.822202887354598e-16,2.704165138657326,2.7041651386576993
10,3.605558324874725e-09,26,3.862895068374217e-10,31,5.495803253291501e-16,7.39829920804904e-08,75,6.740307421660066e-08,83,5.936926760264322e-16,3.4750021294778244,3.4750021294779105
11,5.363210673885149e-10,30,6.599677922631588e-11,35,1.0798723427792257e-15,8.049885406113536e-08,53,7.01042346937657e-08,56,7.765552883133928e-16,3.082038446841285,3.082038446841338
12,2.4754117848490103e-10,29,2.7487478169587744e-09,27,2.8067696537734285e-16,7.601573637016757e-08,94,7.181165916996767e-08,110,7.228773577036896e-16,3.4383147566417223,3.438314756641849
13,9.866541916157302e-10,31,3.8751082546138395e-09,34,1.1962707218240806e-15,5.647529038421114e-08,46,4.805749738376514e-08,42,1.1920487535839262e-15,3.801394703570897,3.80139470357092
14,5.41358155159064e-10,31,2.674615256998911e-12,38,4.654945769476359e-16,7.2994868120845e-08,236,7.522158171787622e-08,196,9.982987395659799e-16,3.9293987610389847,3.9293987610393515
15,2.271468907893178e-09,25,4.532130944846188e-09,25,9.130633083679482e-16,9.184488377084048e-08,200,9.300004361666514e-08,219,1.3003543988640528e-15,2.855985903999385,2.8559859039997786
16,2.3640134876804665e-09,26,6.013460815099006e-09,23,1.2997183206501733e-15,9.883468528148119e-08,248,9.727107156539889e-08,274,4.3257908159566133e-16,3.0278946937376374,3.0278946937381814
17,3.378432072972113e-09,27,7.496255402686698e-09,28,8.873296431087313e-16,9.7293097354006e-08,184,9.852637474243625e-08,226,3.3098213680971354e-16,2.9055317104361986,2.9055317104366494
18,1.596437560881614e-09,27,1.1410429676447505e-09,30,2.795189541965372e-16,7.928530237353217e-08,57,7.606172223295826e-08,57,8.311398457957993e-16,2.9625555865311517,2.962555586531218
19,2.13084950195937e-09,28,2.0704236785627586e-10,33,1.0941106926684686e-15,8.022097093970233e-08,91,8.751553048285892e-08,75,8.785311412567016e-16,3.2307878971279194,3.230787897128079
20,7.313921087965862e-13,42,5.134466149684803e-09,29,8.122779430120417e-16,7.478684618652354e-08,67,7.00364098171942e-08,66,1.5906866451087597e-15,3.4135108939117127,3.4135108939117838
